stock_id,stock_name,stock_code
1,長和,00001
2,中電控股,00002
3,香港中華煤氣,00003
4,九龍倉集團,00004
5,匯豐控股,00005
6,電能實業,00006
7,智富資源投資,00007
10,電訊盈科,00008
13,金奧國際,00009
17,恒隆集團,00010
18,恒生銀行,00011
19,恒基地產,00012
1000001102,和黃醫藥,00013
21,希慎興業,00014
25,新鴻基地產,00016
27,新世界發展,00017
28,東方企控集團,00018
30,太古股份公司Ａ,00019
1000127397,商湯－Ｗ,00020
32,大中華控股,00021
33,茂盛控股,00022
34,東亞銀行,00023
36,CHEVALIER INT'L,00025
37,中華汽車,00026
38,銀河娛樂,00027
41,天安,00028
43,達力集團,00029
44,雲白國際,00030
46,航天控股,00031
47,港通控股,00032
19747,INTL GENIUS,00033
49,九龍建業,00034
51,遠東發展,00035
52,遠東控股國際,00036
53,遠東酒店實業,00037
54,第一拖拉機股份,00038
57,中國北大荒,00039
60,金山科技工業,00040
61,鷹君,00041
62,東北電氣,00042
68,大酒店,00045
69,科聯系統,00046
110870,中國汽車內飾,00048
79,香港小輪（集團）,00050
80,海港企業,00051
81,大快活集團,00052
83,國浩集團,00053
85,中星集團控股,00055
88,震雄集團,00057
90,新威國際,00058
94,天譽置業,00059
97,香港食品投資,00060
99,綠領控股,00061
102,載通,00062
103,中亞烯谷集團,00063
104,結好控股,00064
35207,弘海高新資源,00065
111,港鐵公司,00066
115,香格里拉（亞洲）,00069
117,金粵控股,00070
118,美麗華酒店,00071
37985,超媒體控股,00072
41275,亞洲果業,00073
127,渝太地產,00075
128,誼礫控股,00076
7342,進智公共交通,00077
130,REGAL INT'L,00078
131,世紀建業,00079
57782,中國新經濟投資,00080
134,中國海外宏洋集團,00081
135,瘋狂體育,00082
137,信和置業,00083
138,寶光實業,00084
139,中電華大科技,00085
142,新鴻基公司,00086
143,太古股份公司Ｂ,00087
144,TAI CHEUNG HOLD,00088
145,大生地產,00089
35469,普星能量,00090
148,金禧國際控股,00091
149,冠軍科技集團,00092
151,TERMBRAY IND,00093
153,綠心集團,00094
10179,綠景中國地產,00095
56791,YUSEI,00096
157,恒基發展,00097
22029,興發鋁業,00098
159,王氏國際,00099
162,恒隆地產,00101
163,凱升控股,00102
165,首佳科技,00103
167,ASIA COMM HOLD,00104
169,凱聯國際酒店,00105
170,朗詩綠色管理,00106
171,四川成渝高速公路,00107
174,國銳生活,00108
7031,中國長遠,00110
182,信達國際控股,00111
188,迪生創建,00113
189,HERALD HOLD,00114
191,鈞濠集團,00115
192,周生生,00116
20421,天利控股集團,00117
194,大同機械,00118
197,保利置業集團,00119
198,COSMOPOL INT'L,00120
200,鱷魚恤,00122
201,越秀地產,00123
204,粵海置地,00124
207,新興光學,00125
211,佳寧娜,00126
213,華人置業,00127
215,安寧控股,00128
216,泛海集團,00129
217,慕詩國際,00130
221,卓能（集團）,00131
222,興業控股,00132
223,招商局中國基金,00133
229,昆侖能源,00135
230,中國儒意,00136
233,金輝集團,00137
235,中建富通,00138
237,中達集團控股,00139
243,第一太平,00142
248,招商局港口,00144
251,信能低碳,00145
252,TAI PING CARPET,00146
253,國際商業結算,00147
256,建滔集團,00148
258,中國農產品交易,00149
217590,HYPEBEAST,00150
22458,中國旺旺,00151
265,深圳國際,00152
268,北京控股環境集團,00154
271,力寶華潤,00156
272,自然美,00157
278,萬邦投資,00158
279,布萊克萬礦業,00159
280,漢國置業,00160
284,世紀金花,00162
287,英皇國際,00163
288,中國寶力科技,00164
289,中國光大控股,00165
290,新時代能源,00166
293,IDT INT'L,00167
295,青島啤酒股份,00168
298,萬達酒店發展,00169
306,銀建國際,00171
308,嘉華國際,00173
310,盛洋投資,00174
312,吉利汽車,00175
313,先機企業集團,00176
316,江蘇寧滬高速公路,00177
319,莎莎國際,00178
322,德昌電機控股,00179
323,開達集團,00180
324,閩港控股,00181
325,協合新能源,00182
56363,宏輝集團,00183
328,激成投資,00184
329,正商實業,00185
330,敏捷控股,00186
332,京城機電股份,00187
334,新華匯富金融,00188
19915,東岳集團,00189
339,麗新國際,00191
343,冠中地產,00193
344,廖創興企業,00194
26183,綠科科技國際,00195
21531,宏華集團,00196
347,亨泰,00197
351,德祥地產,00199
354,新濠國際發展,00200
355,華大酒店,00201
356,潤中國際控股,00202
359,資本界金控,00204
365,財訊傳媒,00205
34611,華商能源,00206
369,大悅城地產,00207
374,瀛晟科學,00209
380,達芙妮國際,00210
384,STYLAND HOLD,00211
386,NANYANG HOLD,00212
387,NATIONAL ELEC H,00213
388,匯漢控股,00214
33247,和記電訊香港,00215
391,建業實業,00216
392,中國誠通發展集團,00217
393,申萬宏源香港,00218
394,順豪物業,00219
20216,統一企業中國,00220
401,閩信集團,00222
402,易生活控股,00223
405,建生國際,00224
406,博富臨置業,00225
407,力寶,00226
408,第一上海,00227
